Location,Date of Accident,Time of Accident,Accident Severity,Collision Type,Cause of Accident,Number of Vehicles,Vehicle Types,Driver Age Group,Number of Fatalities,Number of Injuries,Property Damage Level
Town Hall Area,2025-02-20,19:00,Minor Injury,Pedestrian Collision,Driver Negligence,1,Motorcycle,56+,0,2,Low
"No. 12 Gregory's Road, Colombo 07",2025-08-09,12:28,Minor Injury,Rear-end Collision,Overspeeding,2,Three Wheeler; Car,18-25,0,2,Low
Havelock Town Junction,2024-11-01,22:18,Serious Injury,Multi-vehicle Collision,Reckless Driving,2,Car; Van,46-55,0,4,Low
Modara Junction,2025-02-14,23:19,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Motorcycle,46-55,0,1,Moderate
Galle Road Wellawatte,2025-07-18,13:28,Minor Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Three Wheeler,36-45,0,3,High
Maradana Junction,2024-01-02,07:24,Serious Injury,Motorcycle Collision,Overspeeding,4,Motorcycle; Bicycle; Car; Bus,46-55,0,3,Moderate
Manning Market Area,2023-10-17,13:41,Fatal,Motorcycle Collision,Overspeeding,2,Motorcycle; Bicycle,26-35,1,4,High
Borella Junction,2022-11-23,06:59,Minor Injury,Side-impact Collision,Driver Negligence,2,Three Wheeler; Bicycle,26-35,0,4,Low
Kollupitiya Flyover Approach,2025-04-09,22:03,Minor Injury,Motorcycle Collision,Failure to Yield,3,Motorcycle; Three Wheeler; Bicycle,26-35,0,2,High
Wellawatte Junction,2024-08-07,19:56,Fatal,Multi-vehicle Collision,Overspeeding,4,Car; Three Wheeler; Motorcycle; Bicycle,46-55,2,6,Moderate
"No. 88 Horton Place, Colombo 07",2025-08-07,13:59,Fatal,Pedestrian Collision,Overspeeding,1,Bus,18-25,1,2,High
Darley Road Cinnamon Gardens,2024-11-23,07:12,Fatal,Rear-end Collision,Unsafe Lane Change,1,Motorcycle,26-35,1,1,High
Maradana Junction,2022-10-08,06:37,Minor Injury,Motorcycle Collision,Reckless Driving,1,Motorcycle,26-35,0,3,Moderate
Wellawatte Junction,2024-01-12,05:24,Minor Injury,Motorcycle Collision,Pedestrian Negligence,1,Motorcycle,26-35,0,1,Moderate
Bauddhaloka Mawatha Cinnamon Gardens,2025-06-21,08:30,Serious Injury,Motorcycle Collision,Pedestrian Negligence,2,Motorcycle; Car,26-35,0,6,High
Nelum Pokuna Area,2022-09-08,14:55,Fatal,Motorcycle Collision,Driver Fatigue,3,Motorcycle; Three Wheeler; Bus,36-45,1,5,Moderate
Moratuwa Junction,2025-12-09,17:46,Serious Injury,Pedestrian Collision,Overspeeding,1,Motorcycle,18-25,0,2,High
Pettah Market Area,2023-10-22,13:59,Fatal,Single Vehicle Crash,Unsafe Lane Change,1,Motorcycle,26-35,1,3,High
Baseline Road Borella,2024-03-31,19:44,Minor Injury,Single Vehicle Crash,Unsafe Lane Change,1,Three Wheeler,18-25,0,1,Moderate
Hulftsdorp Junction,2025-11-15,19:16,Minor Injury,Motorcycle Collision,Distracted Driving,1,Motorcycle,56+,0,3,Low
Kotahena Junction,2023-07-28,14:25,Minor Injury,Motorcycle Collision,Pedestrian Negligence,2,Motorcycle; Car,56+,0,3,Low
Mattakkuliya Junction,2025-10-26,12:31,Minor Injury,Head-on Collision,Distracted Driving,1,Three Wheeler,36-45,0,1,Low
Kotahena Junction,2023-11-19,20:57,Minor Injury,Multi-vehicle Collision,Poor Visibility,4,Lorry; Three Wheeler; Motorcycle; Van,56+,0,4,Moderate
Borella Junction,2024-06-13,12:33,Serious Injury,Rear-end Collision,Driver Fatigue,3,Motorcycle; Car; Lorry,18-25,0,2,High
Borella Junction,2022-12-10,01:32,Minor Injury,Motorcycle Collision,Driver Fatigue,2,Motorcycle; Three Wheeler,46-55,0,2,Low
High Level Road Kirulapone,2025-01-13,11:35,Minor Injury,Head-on Collision,Overspeeding,2,Motorcycle; Car,18-25,0,4,Low
Slave Island Junction,2025-05-08,09:55,Minor Injury,Multi-vehicle Collision,Driver Fatigue,2,Car; Three Wheeler,26-35,0,3,High
Dehiwela Junction,2023-03-23,18:53,Serious Injury,Pedestrian Collision,Overspeeding,2,Motorcycle; Lorry,36-45,0,2,High
Galle Road Wellawatte,2024-01-27,02:11,Minor Injury,Rear-end Collision,Driver Negligence,1,Motorcycle,26-35,0,4,Moderate
Maradana Junction,2024-10-26,08:55,Minor Injury,Side-impact Collision,Distracted Driving,1,Three Wheeler,46-55,0,3,High
Bambalapitiya Junction,2023-09-21,11:28,Minor Injury,Rear-end Collision,Drunk Driving,1,Three Wheeler,26-35,0,1,High
Borella Junction,2023-05-24,17:03,Minor Injury,Side-impact Collision,Overspeeding,1,Van,26-35,0,3,Low
Messenger Street Pettah,2023-11-29,18:14,Minor Injury,Side-impact Collision,Driver Negligence,2,Three Wheeler; Van,56+,0,1,Moderate
Sir Chittampalam A Gardiner Mawatha Fort,2022-04-18,09:46,Minor Injury,Motorcycle Collision,Reckless Driving,3,Motorcycle; Car; Bicycle,46-55,0,2,Low
Wellawatte Junction,2024-03-15,17:25,Minor Injury,Rear-end Collision,Reckless Driving,2,Motorcycle; Van,46-55,0,4,Low
High Level Road Kirulapone,2023-07-11,14:26,Minor Injury,Rear-end Collision,Distracted Driving,1,Van,36-45,0,3,Low
Galle Road Fort,2023-08-02,08:28,Fatal,Multi-vehicle Collision,Distracted Driving,3,Motorcycle; Car; Three Wheeler,18-25,1,4,High
Justice Akbar Mawatha Slave Island,2023-05-06,10:02,Serious Injury,Multi-vehicle Collision,Driver Negligence,3,Three Wheeler; Motorcycle; Bus,56+,0,3,High
Maradana Railway Station Area,2025-08-19,08:56,Fatal,Rear-end Collision,Reckless Driving,4,Lorry; Three Wheeler; Motorcycle; Car,18-25,2,8,Moderate
"No. 14 Bloemendhal Road, Colombo 13",2024-02-26,14:44,Minor Injury,Multi-vehicle Collision,Driver Negligence,3,Three Wheeler; Motorcycle; Van,18-25,0,3,Low
"No. 45 Messenger Street, Pettah, Colombo 11",2022-02-14,20:01,Minor Injury,Motorcycle Collision,Overspeeding,3,Motorcycle; Van; Bicycle,36-45,0,3,Moderate
Kochchikade Junction,2025-12-12,13:47,Minor Injury,Head-on Collision,Overspeeding,1,Motorcycle,18-25,0,2,High
Pettah Market Area,2024-02-20,06:04,Serious Injury,Side-impact Collision,Driver Negligence,2,Car; Motorcycle,36-45,0,2,High
Maradana Junction,2025-07-07,13:27,Serious Injury,Pedestrian Collision,Overspeeding,2,Motorcycle; Car,26-35,0,6,Low
Wellawatte Junction,2024-01-26,17:52,Minor Injury,Multi-vehicle Collision,Distracted Driving,3,Car; Motorcycle; Bicycle,18-25,0,4,Low
Armour Street Junction,2022-07-30,21:49,Minor Injury,Pedestrian Collision,Driver Negligence,1,Van,26-35,0,1,Low
High Level Road Kirulapone,2024-02-23,09:54,Minor Injury,Motorcycle Collision,Driver Fatigue,3,Motorcycle; Bus; Bicycle,56+,0,2,Low
Borella Junction,2024-07-24,11:49,Serious Injury,Pedestrian Collision,Overspeeding,2,Motorcycle; Three Wheeler,46-55,0,5,High
Sea Street Pettah,2023-06-26,20:02,Serious Injury,Multi-vehicle Collision,Overspeeding,3,Lorry; Car; Van,18-25,0,5,Low
High Level Road Kirulapone,2024-06-23,19:53,Serious Injury,Head-on Collision,Failure to Yield,2,Van; Three Wheeler,26-35,0,5,High
Maradana Junction,2025-05-11,09:34,Minor Injury,Side-impact Collision,Overspeeding,2,Car; Motorcycle,18-25,0,2,Moderate
Darley Road Cinnamon Gardens,2025-12-21,19:44,Minor Injury,Multi-vehicle Collision,Distracted Driving,4,Motorcycle; Van; Three Wheeler; Bicycle,56+,0,4,Low
"No. 12 Buller's Road, Colombo 07",2024-06-06,10:49,Minor Injury,Rear-end Collision,Distracted Driving,4,Three Wheeler; Car; Motorcycle; Van,26-35,0,1,Moderate
Justice Akbar Mawatha Slave Island,2025-03-07,09:47,Minor Injury,Side-impact Collision,Poor Visibility,1,Car,46-55,0,2,Moderate
"Junction of Galle Road and Rawathawatte Road, Moratuwa",2022-01-16,09:18,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Car,18-25,0,2,Moderate
Havelock Road Havelock Town,2024-01-21,04:27,Serious Injury,Rear-end Collision,Failure to Yield,4,Motorcycle; Car; Bus; Bicycle,46-55,0,2,High
Sea Street Junction,2024-05-31,21:35,Minor Injury,Rear-end Collision,Overspeeding,2,Lorry; Three Wheeler,26-35,0,3,Low
Pamankada Junction,2025-02-23,20:14,Serious Injury,Multi-vehicle Collision,Reckless Driving,3,Three Wheeler; Motorcycle; Car,36-45,0,2,High
Bambalapitiya Junction,2025-04-14,01:40,Minor Injury,Rear-end Collision,Distracted Driving,1,Car,46-55,0,3,Low
Grandpass Road Colombo 14,2025-03-26,00:04,Fatal,Multi-vehicle Collision,Driver Negligence,3,Bus; Car; Motorcycle,26-35,2,6,High
Sir Chittampalam A Gardiner Mawatha Fort,2025-08-17,14:57,Minor Injury,Side-impact Collision,Driver Negligence,2,Motorcycle; Three Wheeler,46-55,0,2,Low
Pettah Clock Tower Area,2025-06-05,09:46,Serious Injury,Rear-end Collision,Reckless Driving,1,Bicycle,36-45,0,4,High
Galle Road Kollupitiya,2022-09-02,20:21,Minor Injury,Single Vehicle Crash,Unsafe Lane Change,1,Three Wheeler,36-45,0,4,High
Panchikawatte,2025-02-28,04:31,Serious Injury,Motorcycle Collision,Failure to Yield,2,Motorcycle; Bicycle,26-35,0,4,High
Kollupitiya Flyover Approach,2025-10-03,08:18,Minor Injury,Rear-end Collision,Driver Negligence,2,Motorcycle; Van,36-45,0,2,Low
Messenger Street Pettah,2022-03-29,21:07,Minor Injury,Motorcycle Collision,Distracted Driving,1,Motorcycle,36-45,0,1,Low
Messenger Street Pettah,2023-01-12,17:25,Serious Injury,Rear-end Collision,Overspeeding,1,Three Wheeler,36-45,0,5,High
Slave Island Junction,2023-10-04,08:36,Minor Injury,Single Vehicle Crash,Pedestrian Negligence,1,Three Wheeler,46-55,0,1,Low
Messenger Street Pettah,2022-11-20,12:57,Minor Injury,Pedestrian Collision,Unsafe Lane Change,1,Car,26-35,0,1,Moderate
"No. 34 Baseline Road, Kolonnawa",2023-01-31,19:02,Serious Injury,Side-impact Collision,Unsafe Lane Change,1,Bicycle,26-35,0,3,High
Darley Road Cinnamon Gardens,2023-09-28,07:13,Minor Injury,Rear-end Collision,Reckless Driving,3,Motorcycle; Three Wheeler; Van,56+,0,2,Low
Duplication Road Bambalapitiya,2024-07-05,11:55,Serious Injury,Motorcycle Collision,Pedestrian Negligence,3,Motorcycle; Three Wheeler; Van,36-45,0,3,High
Liberty Plaza Area,2024-01-23,17:35,Minor Injury,Multi-vehicle Collision,Overspeeding,4,Lorry; Motorcycle; Bicycle; Bus,18-25,0,4,Low
Mattakkuliya Junction,2022-04-08,08:57,Minor Injury,Pedestrian Collision,Overspeeding,1,Motorcycle,18-25,0,2,Low
Dematagoda Junction,2024-06-18,14:18,Serious Injury,Single Vehicle Crash,Overspeeding,1,Three Wheeler,18-25,0,6,High
Bambalapitiya Junction,2024-01-20,18:33,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Lorry,36-45,0,2,Moderate
Fort Railway Station Area,2024-03-20,21:48,Serious Injury,Single Vehicle Crash,Distracted Driving,1,Three Wheeler,18-25,0,2,High
Colombo Fort Bus Stand Area,2024-02-13,03:49,Serious Injury,Rear-end Collision,Failure to Yield,3,Three Wheeler; Motorcycle; Car,18-25,0,6,High
Justice Akbar Mawatha Slave Island,2024-07-10,00:11,Minor Injury,Rear-end Collision,Poor Visibility,2,Car; Three Wheeler,18-25,0,4,Low
"Junction of Kolonnawa Road and Wellampitiya Road, Wellampitiya",2025-01-10,22:22,Fatal,Pedestrian Collision,Overspeeding,2,Three Wheeler; Car,18-25,1,1,Moderate
Modara Junction,2024-07-27,19:45,Serious Injury,Pedestrian Collision,Reckless Driving,1,Lorry,46-55,0,3,High
Marine Drive Kollupitiya,2023-04-11,09:56,Minor Injury,Single Vehicle Crash,Overspeeding,1,Van,26-35,0,1,High
Slave Island Junction,2022-04-06,09:28,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Bus,56+,0,3,High
Pettah Clock Tower Area,2025-07-14,08:24,Serious Injury,Side-impact Collision,Driver Negligence,2,Three Wheeler; Bus,56+,0,2,Moderate
Sea Street Kotahena,2022-12-11,10:53,Minor Injury,Head-on Collision,Unsafe Lane Change,1,Three Wheeler,36-45,0,2,Moderate
Havelock Place Area,2025-12-24,03:35,Minor Injury,Rear-end Collision,Distracted Driving,1,Three Wheeler,26-35,0,3,Low
Nawala Junction,2022-10-17,08:35,Minor Injury,Rear-end Collision,Driver Negligence,2,Van; Three Wheeler,18-25,0,2,Moderate
Kollupitiya Railway Station Area,2025-04-02,16:46,Minor Injury,Motorcycle Collision,Distracted Driving,2,Motorcycle; Three Wheeler,36-45,0,3,Low
Wellawatte Junction,2022-03-27,07:59,Minor Injury,Side-impact Collision,Driver Negligence,1,Three Wheeler,36-45,0,3,Low
Panchikawatte,2025-01-09,01:47,Minor Injury,Side-impact Collision,Driver Negligence,1,Motorcycle,18-25,0,2,Low
"No. 3 Justice Akbar Mawatha (Glennie Street), Colombo 02",2024-07-31,18:12,Minor Injury,Head-on Collision,Driver Negligence,1,Motorcycle,18-25,0,2,High
Main Street Pettah,2025-07-08,18:08,Fatal,Rear-end Collision,Overspeeding,2,Motorcycle; Car,26-35,1,4,High
Sir Chittampalam A Gardiner Mawatha Fort,2022-12-14,18:30,Serious Injury,Rear-end Collision,Distracted Driving,2,Three Wheeler; Motorcycle,56+,0,2,High
Galle Road Wellawatte,2024-12-20,06:40,Fatal,Side-impact Collision,Distracted Driving,3,Motorcycle; Three Wheeler; Bus,26-35,1,4,High
Kaduwela Junction,2024-04-16,09:09,Minor Injury,Pedestrian Collision,Driver Negligence,2,Motorcycle; Three Wheeler,36-45,0,2,Low
Armour Street Junction,2022-08-24,12:43,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Bicycle,56+,0,3,Moderate
Hulftsdorp Junction,2025-03-23,23:21,Minor Injury,Rear-end Collision,Driver Negligence,3,Three Wheeler; Motorcycle; Van,18-25,0,2,Low
Dematagoda Junction,2024-11-02,08:01,Minor Injury,Rear-end Collision,Mechanical Failure,1,Three Wheeler,46-55,0,3,Moderate
Kochchikade Junction,2024-03-16,05:50,Minor Injury,Head-on Collision,Distracted Driving,1,Three Wheeler,36-45,0,3,Low
Kirulapone Avenue,2024-04-22,09:29,Minor Injury,Side-impact Collision,Reckless Driving,1,Three Wheeler,26-35,0,1,Moderate
Messenger Street Pettah,2023-06-24,08:42,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Motorcycle,26-35,0,2,Low
"Junction of Cotta Road and Bauddhaloka Mawatha, Colombo 08",2023-07-02,09:15,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Three Wheeler,36-45,0,3,Moderate
Grandpass Junction,2024-09-19,13:45,Minor Injury,Side-impact Collision,Reckless Driving,3,Motorcycle; Car; Three Wheeler,36-45,0,1,Low
Bauddhaloka Mawatha Havelock Town,2022-10-23,10:19,Minor Injury,Motorcycle Collision,Driver Fatigue,4,Motorcycle; Van; Bus; Three Wheeler,18-25,0,1,Moderate
Kotahena Junction,2023-03-27,21:13,Minor Injury,Pedestrian Collision,Overspeeding,1,Motorcycle,26-35,0,1,Moderate
Maradana Railway Station Area,2025-05-19,08:01,Serious Injury,Side-impact Collision,Driver Fatigue,4,Three Wheeler; Motorcycle; Lorry; Bicycle,26-35,0,3,High
Slave Island Junction,2024-11-11,19:50,Minor Injury,Pedestrian Collision,Pedestrian Negligence,2,Motorcycle; Three Wheeler,26-35,0,2,Moderate
Wellampitiya Junction,2023-01-03,11:29,Fatal,Motorcycle Collision,Pedestrian Negligence,2,Motorcycle; Bicycle,18-25,1,5,Moderate
Messenger Street Pettah,2025-09-07,14:56,Minor Injury,Head-on Collision,Driver Negligence,3,Three Wheeler; Motorcycle; Van,36-45,0,4,Moderate
Pettah Market Area,2023-01-31,22:52,Minor Injury,Rear-end Collision,Overspeeding,2,Three Wheeler; Motorcycle,46-55,0,3,Low
Union Place,2024-11-26,16:25,Minor Injury,Side-impact Collision,Pedestrian Negligence,1,Motorcycle,26-35,0,2,High
T B Jayah Mawatha Maradana,2025-09-18,07:31,Minor Injury,Single Vehicle Crash,Poor Visibility,1,Three Wheeler,18-25,0,3,Low
Sea Street Junction,2025-05-01,10:09,Serious Injury,Side-impact Collision,Unsafe Lane Change,3,Motorcycle; Lorry; Three Wheeler,26-35,0,3,Moderate
Galle Road Mount Lavinia,2025-10-23,10:08,Minor Injury,Pedestrian Collision,Distracted Driving,1,Motorcycle,56+,0,1,Moderate
Union Place Borella,2023-12-26,08:12,Minor Injury,Rear-end Collision,Poor Visibility,3,Motorcycle; Van; Three Wheeler,36-45,0,1,Low
Kochchikade Junction,2025-12-07,19:16,Serious Injury,Pedestrian Collision,Reckless Driving,1,Car,18-25,0,5,Moderate
D R Wijewardena Mawatha Fort,2025-07-20,18:43,Fatal,Multi-vehicle Collision,Overspeeding,3,Three Wheeler; Car; Lorry,56+,1,3,High
Dematagoda Junction,2025-03-08,20:33,Minor Injury,Multi-vehicle Collision,Distracted Driving,4,Motorcycle; Three Wheeler; Car; Van,18-25,0,2,High
Modara Junction,2023-03-20,08:28,Minor Injury,Side-impact Collision,Reckless Driving,1,Car,26-35,0,2,High
Duplication Road Bambalapitiya,2022-05-05,17:52,Minor Injury,Motorcycle Collision,Failure to Yield,2,Motorcycle; Three Wheeler,18-25,0,3,Low
Wellawatte Junction,2025-10-29,07:09,Minor Injury,Multi-vehicle Collision,Distracted Driving,3,Bus; Lorry; Motorcycle,26-35,0,2,Low
Union Place Slave Island,2024-04-25,07:15,Serious Injury,Multi-vehicle Collision,Distracted Driving,3,Motorcycle; Car; Lorry,18-25,0,6,High
Ingurukade Junction,2023-10-07,18:50,Minor Injury,Single Vehicle Crash,Unsafe Lane Change,1,Car,46-55,0,3,Low
Galle Road Wellawatte,2025-02-20,09:01,Minor Injury,Motorcycle Collision,Unsafe Lane Change,4,Motorcycle; Bus; Van; Car,18-25,0,1,Moderate
Galle Road Wellawatte,2025-06-30,07:37,Serious Injury,Rear-end Collision,Pedestrian Negligence,2,Motorcycle; Three Wheeler,36-45,0,4,High
Union Place Borella,2025-11-09,22:10,Serious Injury,Head-on Collision,Driver Negligence,1,Three Wheeler,36-45,0,5,High
Hulftsdorp Junction,2025-05-22,08:25,Serious Injury,Head-on Collision,Failure to Yield,3,Three Wheeler; Motorcycle; Van,36-45,0,3,High
Bauddhaloka Mawatha Cinnamon Gardens,2024-04-15,09:23,Minor Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Car,46-55,0,1,Low
"Junction of D R Wijewardena Mawatha and Norris Canal Road, Colombo 10",2024-07-19,01:53,Serious Injury,Pedestrian Collision,Unsafe Lane Change,2,Motorcycle; Car,36-45,0,6,High
High Level Road Kirulapone,2025-02-27,03:54,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Lorry,18-25,0,1,Low
Fort Railway Station Area,2025-03-18,19:23,Serious Injury,Side-impact Collision,Unsafe Lane Change,2,Motorcycle; Car,18-25,0,2,High
Madampitiya Road,2024-05-30,16:59,Minor Injury,Rear-end Collision,Driver Negligence,4,Car; Motorcycle; Bicycle; Three Wheeler,26-35,0,1,Low
Marine Drive Kollupitiya,2024-01-17,15:02,Serious Injury,Pedestrian Collision,Distracted Driving,2,Motorcycle; Three Wheeler,56+,0,3,Moderate
Hulftsdorp Junction,2024-02-12,17:14,Serious Injury,Pedestrian Collision,Pedestrian Negligence,2,Motorcycle; Three Wheeler,18-25,0,3,High
Borella Junction,2022-03-09,00:12,Minor Injury,Side-impact Collision,Driver Negligence,1,Bicycle,36-45,0,2,Low
Kirulapone Junction,2024-08-21,11:24,Serious Injury,Rear-end Collision,Overspeeding,3,Van; Three Wheeler; Bicycle,56+,0,4,High
Modara Junction,2024-11-17,16:46,Fatal,Head-on Collision,Distracted Driving,2,Three Wheeler; Motorcycle,36-45,2,4,High
Lotus Road Colombo 01,2022-10-19,11:09,Minor Injury,Side-impact Collision,Reckless Driving,2,Three Wheeler; Bicycle,18-25,0,2,Low
Fort Railway Station Area,2023-09-02,08:19,Fatal,Multi-vehicle Collision,Reckless Driving,4,Three Wheeler; Car; Motorcycle; Van,36-45,1,3,High
Union Place Borella,2023-01-12,17:02,Serious Injury,Side-impact Collision,Distracted Driving,2,Three Wheeler; Bus,36-45,0,2,Moderate
Second Cross Street Pettah,2023-11-04,13:11,Serious Injury,Multi-vehicle Collision,Unsafe Lane Change,4,Bicycle; Van; Car; Three Wheeler,36-45,0,4,Moderate
Baseline Road Borella,2025-10-20,23:12,Minor Injury,Rear-end Collision,Distracted Driving,1,Motorcycle,36-45,0,1,Moderate
Town Hall Area,2022-11-08,17:38,Minor Injury,Pedestrian Collision,Driver Negligence,1,Motorcycle,46-55,0,2,Low
Madampitiya Road,2025-05-17,15:21,Minor Injury,Head-on Collision,Unsafe Lane Change,1,Van,46-55,0,3,Moderate
Dematagoda Junction,2025-07-19,17:27,Fatal,Side-impact Collision,Poor Visibility,2,Motorcycle; Three Wheeler,36-45,1,5,Low
Colombo 07 Junction,2024-10-08,07:53,Serious Injury,Side-impact Collision,Driver Negligence,1,Three Wheeler,26-35,0,2,Moderate
Pamankada Junction,2024-11-15,18:48,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Three Wheeler,18-25,0,3,Low
Hulftsdorp Junction,2024-09-21,08:59,Minor Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Three Wheeler,26-35,0,2,Moderate
Bambalapitiya Junction,2023-02-28,09:51,Minor Injury,Pedestrian Collision,Distracted Driving,2,Three Wheeler; Lorry,56+,0,1,Moderate
Kochchikade Junction,2025-04-08,14:45,Minor Injury,Rear-end Collision,Driver Negligence,2,Bicycle; Car,18-25,0,2,Moderate
"Junction of Havelock Road and Jawatte Road, Colombo 05",2022-11-12,10:44,Minor Injury,Rear-end Collision,Overspeeding,1,Bus,46-55,0,2,High
Narahenpita Junction,2022-09-02,20:30,Minor Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Car,56+,0,3,High
Armour Street Pettah,2025-05-06,20:28,Minor Injury,Side-impact Collision,Driver Negligence,2,Motorcycle; Bicycle,46-55,0,4,Low
Galle Road Wellawatte,2023-02-11,09:53,Serious Injury,Rear-end Collision,Reckless Driving,1,Motorcycle,36-45,0,4,High
"Junction of D S Senanayake Mawatha and Gnanartha Pradeepa Mawatha, Colombo 08",2023-11-18,20:13,Minor Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Bicycle,36-45,0,1,Low
Mutwal Road Mutwal,2025-10-29,00:05,Serious Injury,Single Vehicle Crash,Overspeeding,1,Motorcycle,46-55,0,4,High
Bambalapitiya Junction,2022-09-02,21:42,Minor Injury,Side-impact Collision,Mechanical Failure,1,Motorcycle,18-25,0,2,Low
Rawatawatte Junction,2025-11-24,12:42,Serious Injury,Side-impact Collision,Pedestrian Negligence,2,Bicycle; Motorcycle,18-25,0,3,Moderate
Duplication Road Bambalapitiya,2023-09-18,09:26,Serious Injury,Motorcycle Collision,Poor Visibility,2,Motorcycle; Van,26-35,0,3,High
T B Jayah Mawatha Maradana,2023-09-02,02:18,Minor Injury,Pedestrian Collision,Drunk Driving,1,Motorcycle,26-35,0,2,Low
Liberty Plaza Area,2022-03-30,08:21,Minor Injury,Rear-end Collision,Distracted Driving,3,Motorcycle; Three Wheeler; Bus,26-35,0,1,Low
Pettah Clock Tower Area,2023-06-26,05:17,Minor Injury,Rear-end Collision,Pedestrian Negligence,1,Three Wheeler,26-35,0,1,Low
Pettah Clock Tower Area,2024-12-02,18:35,Fatal,Head-on Collision,Reckless Driving,2,Motorcycle; Car,46-55,2,2,Moderate
Bauddhaloka Mawatha Cinnamon Gardens,2022-10-12,17:45,Serious Injury,Multi-vehicle Collision,Overspeeding,4,Three Wheeler; Motorcycle; Lorry; Van,46-55,0,3,High
Messenger Street Pettah,2023-06-05,09:09,Serious Injury,Rear-end Collision,Overspeeding,1,Three Wheeler,18-25,0,3,High
Bauddhaloka Mawatha Cinnamon Gardens,2024-03-03,15:15,Minor Injury,Multi-vehicle Collision,Driver Negligence,2,Lorry; Three Wheeler,26-35,0,2,Low
Union Place Slave Island,2025-02-18,13:38,Fatal,Motorcycle Collision,Reckless Driving,4,Motorcycle; Three Wheeler; Lorry; Car,36-45,2,3,High
Havelock Town Junction,2025-06-26,16:01,Fatal,Rear-end Collision,Reckless Driving,1,Car,18-25,1,3,High
Bambalapitiya Junction,2025-04-15,09:04,Minor Injury,Pedestrian Collision,Unsafe Lane Change,2,Bicycle; Three Wheeler,26-35,0,2,Low
"No. 34 Kirula Road, Borella, Colombo 08",2025-08-28,18:01,Minor Injury,Single Vehicle Crash,Poor Visibility,1,Bicycle,36-45,0,4,High
Pamankada Junction,2024-10-30,18:25,Minor Injury,Rear-end Collision,Reckless Driving,1,Three Wheeler,26-35,0,2,Moderate
Rathmalana Junction,2022-12-27,08:12,Minor Injury,Rear-end Collision,Unsafe Lane Change,1,Lorry,46-55,0,1,High
Bauddhaloka Mawatha Cinnamon Gardens,2024-11-12,09:11,Minor Injury,Motorcycle Collision,Driver Negligence,3,Motorcycle; Three Wheeler; Lorry,18-25,0,1,Moderate
Fort Railway Station Area,2024-11-05,15:12,Serious Injury,Single Vehicle Crash,Overspeeding,1,Van,26-35,0,4,High
Maradana Junction,2022-09-14,19:54,Serious Injury,Pedestrian Collision,Unsafe Lane Change,1,Motorcycle,18-25,0,5,Moderate
Madampitiya Road,2024-08-06,13:50,Minor Injury,Side-impact Collision,Mechanical Failure,2,Three Wheeler; Motorcycle,18-25,0,1,High
Bambalapitiya Junction,2025-02-14,09:36,Minor Injury,Pedestrian Collision,Overspeeding,1,Motorcycle,26-35,0,2,Moderate
Marine Drive Kollupitiya,2022-11-28,13:12,Minor Injury,Pedestrian Collision,Driver Negligence,1,Motorcycle,18-25,0,2,Low
Armour Street Junction,2024-08-16,11:23,Serious Injury,Side-impact Collision,Reckless Driving,2,Three Wheeler; Motorcycle,36-45,0,3,Low
Borella Junction,2022-11-19,06:14,Serious Injury,Side-impact Collision,Overspeeding,3,Three Wheeler; Lorry; Van,18-25,0,2,High
High Level Road Kirulapone,2023-06-04,18:17,Minor Injury,Pedestrian Collision,Driver Fatigue,2,Motorcycle; Car,18-25,0,1,Low
Baseline Road Borella,2025-10-24,09:52,Minor Injury,Rear-end Collision,Driver Negligence,3,Car; Motorcycle; Van,26-35,0,4,Low
Galle Road Rathmalana,2023-10-15,22:18,Minor Injury,Motorcycle Collision,Driver Fatigue,2,Motorcycle; Bus,46-55,0,3,Moderate
"No. 05 Sirimavo Bandaranaike Mawatha, Grandpass, Colombo 14",2025-01-06,23:52,Minor Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Car,46-55,0,1,Low
Union Place Slave Island,2025-04-29,19:57,Minor Injury,Pedestrian Collision,Poor Visibility,2,Motorcycle; Three Wheeler,46-55,0,2,Moderate
Bambalapitiya Junction,2022-12-20,07:26,Serious Injury,Side-impact Collision,Driver Negligence,1,Three Wheeler,26-35,0,2,High
Dematagoda Junction,2025-10-03,18:18,Minor Injury,Motorcycle Collision,Reckless Driving,1,Motorcycle,18-25,0,2,Low
Bauddhaloka Mawatha Cinnamon Gardens,2022-04-09,10:29,Minor Injury,Rear-end Collision,Reckless Driving,2,Three Wheeler; Van,26-35,0,2,Low
Kollupitiya Railway Station Area,2022-04-06,09:41,Minor Injury,Pedestrian Collision,Driver Negligence,1,Car,26-35,0,2,High
