Location,Date of Accident,Time of Accident,Accident Severity,Collision Type,Cause of Accident,Number of Vehicles,Vehicle Types,Driver Age Group,Number of Fatalities,Number of Injuries,Property Damage Level,location_standardized,location_name,formatted_address,latitude,longitude,conditions,precip,visibility,humidity,cloudcover,sunrise,sunset,weather_condition_label,visibility_level
Grandpass Junction,2024-12-11,04:38,Minor Injury,Multi-vehicle Collision,Driver Negligence,3,Car; Motorcycle; Three Wheeler,26-35,0,2,Moderate,"Grandpass Junction, Colombo, Sri Lanka","Grandpass Junction, Colombo, Sri Lanka","Grandpass Rd, Colombo, Sri Lanka",6.9432514,79.8685531,Partially cloudy,0.0,6.5,82.1,43.5,2024-12-11T06:12:16,2024-12-11T17:55:55,Partially Cloudy,Good
Bambalapitiya Railway Station Area,2024-12-24,07:33,Minor Injury,Motorcycle Collision,Pedestrian Negligence,4,Motorcycle; Bus; Car; Three Wheeler,26-35,0,3,Low,"Bambalapitiya Railway Station Area, Colombo, Sri Lanka","Bambalapitiya Railway Station Area, Colombo, Sri Lanka","Bambalapitiya Railway Station, Colombo, Sri Lanka",6.8936984,79.8529574,Partially cloudy,0.0,7.0,78.6,20.7,2024-12-24T06:18:48,2024-12-24T18:02:03,Partially Cloudy,Good
D R Wijewardena Mawatha Dematagoda,2024-12-12,13:30,Minor Injury,Side-impact Collision,Poor Visibility,4,Car; Motorcycle; Three Wheeler; Bus,26-35,0,3,Low,"D R Wijewardena Mawatha Dematagoda, Colombo, Sri Lanka","D R Wijewardena Mawatha Dematagoda, Colombo, Sri Lanka","McCallum Rd, Colombo, Sri Lanka",6.9315143,79.8545206,"Rain, Partially cloudy",0.151,6.2,88.5,76.8,2024-12-12T06:12:46,2024-12-12T17:56:20,Light Rain,Good
Mattakkuliya Junction,2024-04-12,10:48,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Lorry,46-55,0,1,Low,"Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Brg, Colombo, Sri Lanka",6.9805611,79.875318,"Rain, Partially cloudy",0.016,6.8,87.5,51.3,2024-04-12T06:03:43,2024-04-12T18:19:13,Light Rain,Good
Baseline Road Borella,2022-10-26,19:53,Minor Injury,Multi-vehicle Collision,Overspeeding,4,Three Wheeler; Van; Bicycle; Motorcycle,26-35,0,1,Low,"Baseline Road Borella, Colombo, Sri Lanka","Baseline Road Borella, Colombo, Sri Lanka","Baseline Rd, Colombo, Sri Lanka",6.919902,79.8776917,"Rain, Partially cloudy",0.174,8.0,86.5,29.3,2022-10-26T05:57:18,2022-10-26T17:51:55,Light Rain,Good
Pettah Clock Tower Area,2023-07-17,16:56,Minor Injury,Pedestrian Collision,Unsafe Lane Change,2,Motorcycle; Three Wheeler,36-45,0,1,Moderate,"Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah, Colombo, Sri Lanka",6.9367858,79.8525385,Partially cloudy,0.0,8.2,79.9,56.2,2023-07-17T06:02:25,2023-07-17T18:31:14,Partially Cloudy,Good
Borella Junction,2023-07-30,21:26,Minor Injury,Side-impact Collision,Reckless Driving,2,Van; Bicycle,36-45,0,1,High,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481,Partially cloudy,0.0,8.1,77.9,50.1,2023-07-30T06:04:17,2023-07-30T18:30:02,Partially Cloudy,Good
Maradana Junction,2024-12-31,12:42,Minor Injury,Rear-end Collision,Reckless Driving,3,Lorry; Three Wheeler; Motorcycle,36-45,0,3,Moderate,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428,Partially cloudy,0.0,6.9,84.8,61.7,2024-12-31T06:22:02,2024-12-31T18:05:39,Partially Cloudy,Good
Pettah Clock Tower Area,2022-12-22,14:18,Serious Injury,Rear-end Collision,Distracted Driving,2,Car; Bicycle,36-45,0,4,High,"Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah, Colombo, Sri Lanka",6.9367858,79.8525385,"Rain, Partially cloudy",0.071,7.9,83.6,25.9,2022-12-22T06:17:33,2022-12-22T18:00:46,Light Rain,Good
High Level Road Kirulapone,2024-07-23,09:13,Fatal,Head-on Collision,Reckless Driving,1,Van,18-25,2,3,High,"High Level Road Kirulapone, Colombo, Sri Lanka","High Level Road Kirulapone, Colombo, Sri Lanka","High Level Rd, Colombo, Sri Lanka",6.8775584,79.8793098,"Rain, Partially cloudy",0.472,7.4,79.7,32.5,2024-07-23T06:03:33,2024-07-23T18:30:53,Light Rain,Good
Maradana Junction,2025-09-25,17:14,Fatal,Single Vehicle Crash,Driver Fatigue,1,Lorry,26-35,1,1,High,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428,"Rain, Partially cloudy",0.634,6.8,82.4,32.7,2025-09-25T05:59:29,2025-09-25T18:05:15,Light Rain,Good
High Level Road Kirulapone,2025-05-05,07:46,Minor Injury,Multi-vehicle Collision,Failure to Yield,3,Three Wheeler; Lorry; Motorcycle,36-45,0,2,Low,"High Level Road Kirulapone, Colombo, Sri Lanka","High Level Road Kirulapone, Colombo, Sri Lanka","High Level Rd, Colombo, Sri Lanka",6.8775584,79.8793098,Partially cloudy,0.0,6.4,82.1,64.2,2025-05-05T05:55:49,2025-05-05T18:19:08,Partially Cloudy,Good
Sir Chittampalam A Gardiner Mawatha Fort,2024-02-28,03:34,Serious Injury,Motorcycle Collision,Pedestrian Negligence,2,Motorcycle; Lorry,36-45,0,6,High,"Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawath, Colombo, Sri Lanka",6.9298377,79.8477933,Partially cloudy,0.0,7.6,65.5,28.4,2024-02-28T06:23:59,2024-02-28T18:22:49,Partially Cloudy,Good
Grandpass Junction,2025-09-25,17:18,Minor Injury,Multi-vehicle Collision,Reckless Driving,4,Motorcycle; Three Wheeler; Car; Bicycle,26-35,0,4,Moderate,"Grandpass Junction, Colombo, Sri Lanka","Grandpass Junction, Colombo, Sri Lanka","Grandpass Rd, Colombo, Sri Lanka",6.9432514,79.8685531,"Rain, Partially cloudy",0.634,6.8,82.4,32.7,2025-09-25T05:59:29,2025-09-25T18:05:15,Light Rain,Good
Mattakkuliya Junction,2025-08-23,19:58,Minor Injury,Rear-end Collision,Driver Fatigue,4,Three Wheeler; Bus; Motorcycle; Lorry,18-25,0,4,Low,"Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Brg, Colombo, Sri Lanka",6.9805611,79.875318,Partially cloudy,0.0,7.1,81.1,54.0,2025-08-23T06:04:20,2025-08-23T18:22:19,Partially Cloudy,Good
Kollupitiya Railway Station Area,2025-10-16,21:16,Minor Injury,Rear-end Collision,Driver Negligence,3,Motorcycle; Three Wheeler; Car,18-25,0,2,Low,"Kollupitiya Railway Station Area, Colombo, Sri Lanka","Kollupitiya Railway Station Area, Colombo, Sri Lanka","Kollupitiya Railway Station, Colombo, Sri Lanka",6.9112629,79.8481782,"Rain, Partially cloudy",0.543,7.4,82.7,38.4,2025-10-16T05:57:13,2025-10-16T17:55:13,Light Rain,Good
Pettah Market Area,2024-01-27,19:52,Minor Injury,Rear-end Collision,Unsafe Lane Change,2,Car; Motorcycle,36-45,0,1,Moderate,"Pettah Market Area, Colombo, Sri Lanka","Pettah Market Area, Colombo, Sri Lanka","WVP3+VMM, Keyzer St, Colombo 01100, Sri Lanka",6.937201699999999,79.854187,Clear,0.0,7.6,72.0,18.3,2024-01-27T06:29:09,2024-01-27T18:17:33,Clear,Good
Borella Junction,2024-06-29,07:18,Fatal,Motorcycle Collision,Reckless Driving,2,Motorcycle; Bicycle,18-25,1,4,Moderate,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481,Partially cloudy,0.002,7.8,76.8,52.5,2024-06-29T05:58:41,2024-06-29T18:29:51,Partially Cloudy,Good
Bambalapitiya Railway Station Area,2022-07-29,20:22,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Van,18-25,0,3,High,"Bambalapitiya Railway Station Area, Colombo, Sri Lanka","Bambalapitiya Railway Station Area, Colombo, Sri Lanka","Bambalapitiya Railway Station, Colombo, Sri Lanka",6.8936984,79.8529574,Partially cloudy,0.004,9.6,87.4,45.5,2022-07-29T06:04:11,2022-07-29T18:30:09,Partially Cloudy,Good
Sir Chittampalam A Gardiner Mawatha Fort,2024-05-02,07:11,Minor Injury,Rear-end Collision,Reckless Driving,4,Lorry; Motorcycle; Three Wheeler; Car,18-25,0,2,Low,"Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawath, Colombo, Sri Lanka",6.9298377,79.8477933,Partially cloudy,0.0,7.7,83.2,46.1,2024-05-02T05:56:30,2024-05-02T18:18:56,Partially Cloudy,Good
Union Place,2025-05-13,22:34,Minor Injury,Single Vehicle Crash,Reckless Driving,1,Motorcycle,18-25,0,4,Low,"Union Place, Colombo, Sri Lanka","Union Place, Colombo, Sri Lanka","Union Place, Colombo, Sri Lanka",6.922958299999999,79.8523572,"Rain, Partially cloudy",0.096,7.3,77.3,34.8,2025-05-13T05:54:18,2025-05-13T18:19:57,Light Rain,Good
Wellawatte Junction,2023-11-12,09:07,Fatal,Rear-end Collision,Overspeeding,1,Three Wheeler,26-35,1,1,Moderate,"Wellawatte Junction, Colombo, Sri Lanka","Wellawatte Junction, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934,"Rain, Partially cloudy",1.171,7.9,89.8,65.7,2023-11-12T06:00:02,2023-11-12T17:49:24,Light Rain,Good
Galle Road Fort,2022-01-29,09:09,Serious Injury,Side-impact Collision,Overspeeding,1,Car,26-35,0,5,High,"Galle Road Fort, Colombo, Sri Lanka","Galle Road Fort, Colombo, Sri Lanka","Galle Buck Rd, Colombo, Sri Lanka",6.9363912,79.8415204,Clear,0.0,6.7,85.3,19.1,2022-01-29T06:29:16,2022-01-29T18:18:21,Clear,Good
Thalawathugoda Junction,2025-02-10,08:44,Fatal,Side-impact Collision,Distracted Driving,1,Motorcycle,26-35,1,2,High,"Thalawathugoda Junction, Colombo, Sri Lanka","Thalawathugoda Junction, Colombo, Sri Lanka","Thalawathugoda Junction, Ruhunupura, Sri Lanka",6.8763156,79.9353488,Clear,0.0,6.6,61.4,6.9,2025-02-10T06:28:35,2025-02-10T18:21:24,Clear,Good
"No. 102 Galle Road, Wellawatte, Colombo 06",2025-10-28,14:51,Serious Injury,Multi-vehicle Collision,Driver Fatigue,4,Car; Bus; Motorcycle; Three Wheeler,46-55,0,6,High,"No. 102 Galle Road, Wellawatte, Colombo 06, Colombo, Sri Lanka","No. 102 Galle Road, Wellawatte, Colombo 06, Colombo, Sri Lanka","102 Galle Rd, Colombo 00600, Sri Lanka",6.8748393,79.8610597,"Rain, Partially cloudy",0.21,7.3,73.7,32.8,2025-10-28T05:57:31,2025-10-28T17:51:21,Light Rain,Good
"Junction of Maliban Junction and Old Galle Road, Rathmalana",2025-09-29,20:45,Minor Injury,Pedestrian Collision,Failure to Yield,2,Motorcycle; Three Wheeler,26-35,0,1,High,"Junction of Maliban Junction and Old Galle Road, Rathmalana, Colombo, Sri Lanka","Junction of Maliban Junction and Old Galle Road, Rathmalana, Colombo, Sri Lanka","Old Galle Rd, Sri Lanka",6.7507376,79.9002198,"Rain, Partially cloudy",0.146,7.9,79.1,36.6,2025-09-29T05:58:53,2025-09-29T18:03:08,Light Rain,Good
Mattakkuliya Junction,2022-08-30,16:50,Minor Injury,Pedestrian Collision,Overspeeding,2,Motorcycle; Car,26-35,0,1,Low,"Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Brg, Colombo, Sri Lanka",6.9805611,79.875318,"Rain, Partially cloudy",0.938,8.0,86.9,37.1,2022-08-30T06:03:34,2022-08-30T18:19:10,Light Rain,Good
"Junction of Baseline Road and D R Wijewardena Mawatha, Colombo 09",2024-10-06,08:38,Minor Injury,Head-on Collision,Unsafe Lane Change,3,Bicycle; Motorcycle; Three Wheeler,26-35,0,1,Low,"Junction of Baseline Road and D R Wijewardena Mawatha, Colombo 09, Colombo, Sri Lanka","Junction of Baseline Road and D R Wijewardena Mawatha, Colombo 09, Colombo, Sri Lanka","WV7H+W24, Baseline Rd, Colombo, Sri Lanka",6.9147544,79.8775893,Partially cloudy,0.0,5.9,83.2,55.0,2024-10-06T05:57:56,2024-10-06T17:59:30,Partially Cloudy,Moderate
Dematagoda Junction,2023-03-16,19:00,Serious Injury,Pedestrian Collision,Mechanical Failure,2,Motorcycle; Three Wheeler,46-55,0,6,High,"Dematagoda Junction, Colombo, Sri Lanka","Dematagoda Junction, Colombo, Sri Lanka","Dematagoda Pl, Colombo, Sri Lanka",6.9293231,79.8764195,"Rain, Partially cloudy",0.555,8.2,83.2,72.4,2023-03-16T06:17:01,2023-03-16T18:21:58,Light Rain,Good
T B Jayah Mawatha Maradana,2024-06-22,17:56,Minor Injury,Pedestrian Collision,Poor Visibility,1,Motorcycle,56+,0,1,Low,"T B Jayah Mawatha Maradana, Colombo, Sri Lanka","T B Jayah Mawatha Maradana, Colombo, Sri Lanka","T. B. Jayah Mawatha, Colombo, Sri Lanka",6.9235871,79.8619082,"Rain, Partially cloudy",0.052,7.1,73.9,59.7,2024-06-22T05:57:05,2024-06-22T18:28:32,Light Rain,Good
Wellawatte Junction,2022-12-13,06:23,Minor Injury,Rear-end Collision,Driver Negligence,1,Motorcycle,26-35,0,4,Moderate,"Wellawatte Junction, Colombo, Sri Lanka","Wellawatte Junction, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934,Clear,0.0,8.5,80.2,17.0,2022-12-13T06:13:00,2022-12-13T17:56:32,Clear,Good
Maradana Junction,2024-06-07,16:45,Fatal,Multi-vehicle Collision,Drunk Driving,4,Three Wheeler; Motorcycle; Car; Bicycle,18-25,2,8,High,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428,"Rain, Partially cloudy",0.047,6.9,83.3,75.5,2024-06-07T05:54:20,2024-06-07T18:25:01,Light Rain,Good
Maradana Railway Station Area,2022-06-26,14:04,Minor Injury,Pedestrian Collision,Driver Negligence,2,Car; Bicycle,26-35,0,2,Low,"Maradana Railway Station Area, Colombo, Sri Lanka","Maradana Railway Station Area, Colombo, Sri Lanka","Maradana Railway Station, Jayantha Weerasekara Mawatha, Colombo 01000, Sri Lanka",6.92946,79.86511000000002,"Rain, Partially cloudy",0.137,7.9,79.9,21.5,2022-06-26T05:57:51,2022-06-26T18:29:12,Light Rain,Good
Bambalapitiya Junction,2022-03-30,23:15,Minor Injury,Pedestrian Collision,Overspeeding,1,Lorry,18-25,0,2,Moderate,"Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya, Colombo 00500, Sri Lanka",6.8894192,79.8575468,Partially cloudy,0.009,7.9,80.3,22.9,2022-03-30T06:10:03,2022-03-30T18:20:27,Partially Cloudy,Good
Galle Road Fort,2025-02-27,08:36,Serious Injury,Side-impact Collision,Reckless Driving,2,Three Wheeler; Van,26-35,0,6,High,"Galle Road Fort, Colombo, Sri Lanka","Galle Road Fort, Colombo, Sri Lanka","Galle Buck Rd, Colombo, Sri Lanka",6.9363912,79.8415204,Partially cloudy,0.0,7.0,73.3,33.7,2025-02-27T06:24:05,2025-02-27T18:22:50,Partially Cloudy,Good
Wellawatte Junction,2025-07-27,19:29,Minor Injury,Side-impact Collision,Poor Visibility,2,Van; Three Wheeler,46-55,0,3,Low,"Wellawatte Junction, Colombo, Sri Lanka","Wellawatte Junction, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934,Partially cloudy,0.0,6.8,77.3,32.4,2025-07-27T06:04:03,2025-07-27T18:30:27,Partially Cloudy,Good
Bauddhaloka Mawatha Havelock Town,2023-05-13,16:11,Serious Injury,Single Vehicle Crash,Drunk Driving,1,Car,36-45,0,5,Moderate,"Bauddhaloka Mawatha Havelock Town, Colombo, Sri Lanka","Bauddhaloka Mawatha Havelock Town, Colombo, Sri Lanka","Bauddhaloka Mawatha, Colombo, Sri Lanka",6.897011,79.8598172,"Rain, Partially cloudy",0.093,8.0,79.3,57.6,2023-05-13T05:54:21,2023-05-13T18:19:52,Light Rain,Good
Kollupitiya Junction,2025-06-13,07:04,Serious Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Bus,36-45,0,6,Moderate,"Kollupitiya Junction, Colombo, Sri Lanka","Kollupitiya Junction, Colombo, Sri Lanka","Kollupitiya - Sri Jayewardenepura Rd, Colombo, Sri Lanka",6.9117245,79.8614617,"Rain, Partially cloudy",0.058,6.9,78.1,35.6,2025-06-13T05:55:14,2025-06-13T18:26:26,Light Rain,Good
Maradana Junction,2024-11-17,21:01,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Car,18-25,0,3,Low,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428,"Rain, Partially cloudy",0.071,5.9,85.3,42.4,2024-11-17T06:01:45,2024-11-17T17:49:35,Light Rain,Moderate
Armour Street Junction,2023-05-16,19:57,Minor Injury,Multi-vehicle Collision,Driver Negligence,3,Three Wheeler; Bicycle; Lorry,46-55,0,1,Moderate,"Armour Street Junction, Colombo, Sri Lanka","Armour Street Junction, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618,"Rain, Partially cloudy",0.01,8.4,83.0,51.5,2023-05-16T05:53:57,2023-05-16T18:20:16,Light Rain,Good
Battaramulla Town,2024-09-17,08:52,Minor Injury,Head-on Collision,Driver Negligence,2,Car; Motorcycle,18-25,0,3,Low,"Battaramulla Town, Colombo, Sri Lanka","Battaramulla Town, Colombo, Sri Lanka","Battaramulla, Sri Lanka",6.8979941,79.9222869,Partially cloudy,0.0,6.5,76.5,58.4,2024-09-17T06:00:45,2024-09-17T18:09:27,Partially Cloudy,Good
Dematagoda Junction,2025-12-07,19:33,Minor Injury,Rear-end Collision,Driver Negligence,2,Car; Van,56+,0,3,Low,"Dematagoda Junction, Colombo, Sri Lanka","Dematagoda Junction, Colombo, Sri Lanka","Dematagoda Pl, Colombo, Sri Lanka",6.9293231,79.8764195,"Rain, Partially cloudy",0.43,6.9,82.7,25.7,2025-12-07T06:10:09,2025-12-07T17:54:14,Light Rain,Good
Sir Chittampalam A Gardiner Mawatha Fort,2025-01-14,13:11,Serious Injury,Rear-end Collision,Unsafe Lane Change,2,Motorcycle; Car,56+,0,2,High,"Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawath, Colombo, Sri Lanka",6.9298377,79.8477933,"Rain, Partially cloudy",0.022,7.2,88.9,77.1,2025-01-14T06:27:01,2025-01-14T18:12:36,Light Rain,Good
Mattakkuliya Junction,2025-11-06,17:03,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Van,18-25,0,3,High,"Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Brg, Colombo, Sri Lanka",6.9805611,79.875318,"Rain, Partially cloudy",0.228,7.0,75.4,39.1,2025-11-06T05:58:47,2025-11-06T17:49:46,Light Rain,Good
Wellawatte Junction,2024-11-01,09:49,Minor Injury,Rear-end Collision,Poor Visibility,3,Motorcycle; Three Wheeler; Car,18-25,0,4,Moderate,"Wellawatte Junction, Colombo, Sri Lanka","Wellawatte Junction, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934,Partially cloudy,0.008,6.9,86.5,55.6,2024-11-01T05:57:59,2024-11-01T17:50:26,Partially Cloudy,Good
Sea Street Kotahena,2023-12-21,16:25,Minor Injury,Pedestrian Collision,Unsafe Lane Change,2,Motorcycle; Three Wheeler,46-55,0,1,Low,"Sea Street Kotahena, Colombo, Sri Lanka","Sea Street Kotahena, Colombo, Sri Lanka","Sea St, Colombo 01300, Sri Lanka",6.9418464,79.8542501,"Rain, Partially cloudy",0.743,7.6,82.0,43.6,2023-12-21T06:16:57,2023-12-21T18:00:09,Light Rain,Good
Maradana Railway Station Area,2022-02-19,14:28,Serious Injury,Side-impact Collision,Distracted Driving,1,Three Wheeler,56+,0,6,High,"Maradana Railway Station Area, Colombo, Sri Lanka","Maradana Railway Station Area, Colombo, Sri Lanka","Maradana Railway Station, Jayantha Weerasekara Mawatha, Colombo 01000, Sri Lanka",6.92946,79.86511000000002,"Rain, Partially cloudy",4.689,6.5,89.7,23.1,2022-02-19T06:26:42,2022-02-19T18:22:28,Light Rain,Good
High Level Road Kirulapone,2023-11-06,09:34,Minor Injury,Multi-vehicle Collision,Overspeeding,3,Motorcycle; Bus; Lorry,46-55,0,3,Moderate,"High Level Road Kirulapone, Colombo, Sri Lanka","High Level Road Kirulapone, Colombo, Sri Lanka","High Level Rd, Colombo, Sri Lanka",6.8775584,79.8793098,"Rain, Partially cloudy",4.384,8.2,87.3,58.6,2023-11-06T05:58:40,2023-11-06T17:49:48,Light Rain,Good
"No. 55 Dharmapala Mawatha, Colombo 07",2025-10-08,07:41,Minor Injury,Motorcycle Collision,Distracted Driving,2,Motorcycle; Bicycle,46-55,0,1,Moderate,"No. 55 Dharmapala Mawatha, Colombo 07, Colombo, Sri Lanka","No. 55 Dharmapala Mawatha, Colombo 07, Colombo, Sri Lanka","55 Srimath Anagarika Dharmapala Mawatha, Colombo 00300, Sri Lanka",6.9127781,79.8532601,"Rain, Partially cloudy",0.111,7.0,75.6,29.5,2025-10-08T05:57:46,2025-10-08T17:58:40,Light Rain,Good
Sea Street Pettah,2025-07-21,07:31,Serious Injury,Rear-end Collision,Overspeeding,2,Bus; Car,18-25,0,5,Low,"Sea Street Pettah, Colombo, Sri Lanka","Sea Street Pettah, Colombo, Sri Lanka","Sea St, Colombo 01300, Sri Lanka",6.9418464,79.8542501,Partially cloudy,0.0,6.8,79.8,40.9,2025-07-21T06:03:13,2025-07-21T18:31:05,Partially Cloudy,Good
Panchikawatte,2022-06-17,10:23,Minor Injury,Pedestrian Collision,Driver Fatigue,1,Motorcycle,18-25,0,1,Moderate,"Panchikawatte, Colombo, Sri Lanka","Panchikawatte, Colombo, Sri Lanka","Panchikawatta, Colombo 01000, Sri Lanka",6.9309682,79.8639835,"Rain, Partially cloudy",0.27,8.1,84.0,32.7,2022-06-17T05:55:54,2022-06-17T18:27:17,Light Rain,Good
Union Place Slave Island,2022-10-31,19:51,Minor Injury,Single Vehicle Crash,Distracted Driving,1,Three Wheeler,36-45,0,4,Low,"Union Place Slave Island, Colombo, Sri Lanka","Union Place Slave Island, Colombo, Sri Lanka","Union Pl, Colombo, Sri Lanka",6.9203664,79.8578057,Partially cloudy,0.008,8.5,78.8,28.8,2022-10-31T05:57:46,2022-10-31T17:50:43,Partially Cloudy,Good
Ibbanwala Junction,2025-03-04,18:39,Minor Injury,Motorcycle Collision,Driver Negligence,3,Motorcycle; Car; Bicycle,46-55,0,3,Low,"Ibbanwala Junction, Colombo, Sri Lanka","Ibbanwala Junction, Colombo, Sri Lanka","Ibbanwala, Colombo, Sri Lanka",6.917642,79.8597831,"Rain, Partially cloudy",0.115,6.3,78.9,24.4,2025-03-04T06:22:09,2025-03-04T18:22:45,Light Rain,Good
Sri Jayawardenepura Kotte Junction,2023-09-02,21:43,Minor Injury,Rear-end Collision,Poor Visibility,1,Car,26-35,0,2,Low,"Sri Jayawardenepura Kotte Junction, Colombo, Sri Lanka","Sri Jayawardenepura Kotte Junction, Colombo, Sri Lanka","Kotte - Bope Rd, Sri Lanka",6.86535,80.022372,"Rain, Partially cloudy",1.242,7.4,88.2,81.9,2023-09-02T06:03:14,2023-09-02T18:17:49,Light Rain,Good
Sir Chittampalam A Gardiner Mawatha Fort,2025-02-20,07:50,Minor Injury,Rear-end Collision,Unsafe Lane Change,2,Lorry; Three Wheeler,26-35,0,2,Low,"Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawath, Colombo, Sri Lanka",6.9298377,79.8477933,Clear,0.0,6.0,65.2,8.8,2025-02-20T06:26:22,2025-02-20T18:22:36,Clear,Moderate
Union Place,2023-04-28,22:05,Minor Injury,Rear-end Collision,Driver Negligence,1,Van,18-25,0,3,High,"Union Place, Colombo, Sri Lanka","Union Place, Colombo, Sri Lanka","Union Place, Colombo, Sri Lanka",6.922958299999999,79.8523572,"Rain, Partially cloudy",1.801,7.6,87.9,58.7,2023-04-28T05:57:52,2023-04-28T18:18:45,Light Rain,Good
High Level Road Kirulapone,2025-02-28,04:26,Serious Injury,Multi-vehicle Collision,Reckless Driving,3,Motorcycle; Car; Bicycle,36-45,0,4,High,"High Level Road Kirulapone, Colombo, Sri Lanka","High Level Road Kirulapone, Colombo, Sri Lanka","High Level Rd, Colombo, Sri Lanka",6.8775584,79.8793098,"Rain, Partially cloudy",0.011,8.6,81.9,35.6,2025-02-28T06:23:43,2025-02-28T18:22:50,Light Rain,Good
Slave Island Junction,2022-05-30,08:21,Serious Injury,Rear-end Collision,Distracted Driving,2,Three Wheeler; Motorcycle,18-25,0,2,Moderate,"Slave Island Junction, Colombo, Sri Lanka","Slave Island Junction, Colombo, Sri Lanka","Kompannavidiya Flyover, Colombo, Sri Lanka",6.9266493,79.8483123,"Rain, Partially cloudy",0.728,7.5,88.0,34.4,2022-05-30T05:53:31,2022-05-30T18:22:59,Light Rain,Good
Galle Road Kollupitiya,2023-08-05,17:09,Minor Injury,Multi-vehicle Collision,Reckless Driving,3,Car; Three Wheeler; Motorcycle,18-25,0,2,Low,"Galle Road Kollupitiya, Colombo, Sri Lanka","Galle Road Kollupitiya, Colombo, Sri Lanka","Galle Rd, Colombo, Sri Lanka",6.9037968,79.8521362,"Rain, Partially cloudy",0.021,8.1,78.4,53.3,2023-08-05T06:04:43,2023-08-05T18:28:46,Light Rain,Good
Mattakkuliya Junction,2024-01-01,18:36,Serious Injury,Motorcycle Collision,Distracted Driving,4,Motorcycle; Bicycle; Three Wheeler; Van,36-45,0,3,High,"Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Brg, Colombo, Sri Lanka",6.9805611,79.875318,"Rain, Partially cloudy",0.644,6.7,88.1,71.2,2024-01-01T06:22:07,2024-01-01T18:05:46,Light Rain,Good
