Location,Date of Accident,Time of Accident,Accident Severity,Collision Type,Cause of Accident,Number of Vehicles,Vehicle Types,Driver Age Group,Number of Fatalities,Number of Injuries,Property Damage Level,location_standardized,location_name,formatted_address,latitude,longitude
Messenger Street Pettah,2023-06-05,09:09,Serious Injury,Rear-end Collision,Overspeeding,1,Three Wheeler,18-25,0,3,High,"Messenger Street Pettah, Colombo, Sri Lanka","Messenger Street Pettah, Colombo, Sri Lanka","M. J. M. Lafeer Mawatha, Colombo, Sri Lanka",6.9411356,79.8629811
Bauddhaloka Mawatha Cinnamon Gardens,2024-03-03,15:15,Minor Injury,Multi-vehicle Collision,Driver Negligence,2,Lorry; Three Wheeler,26-35,0,2,Low,"Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha, Colombo 00700, Sri Lanka",6.901932,79.8694402
Union Place Slave Island,2025-02-18,13:38,Fatal,Motorcycle Collision,Reckless Driving,4,Motorcycle; Three Wheeler; Lorry; Car,36-45,2,3,High,"Union Place Slave Island, Colombo, Sri Lanka","Union Place Slave Island, Colombo, Sri Lanka","Union Pl, Colombo, Sri Lanka",6.9203664,79.8578057
Havelock Town Junction,2025-06-26,16:01,Fatal,Rear-end Collision,Reckless Driving,1,Car,18-25,1,3,High,"Havelock Town Junction, Colombo, Sri Lanka","Havelock Town Junction, Colombo, Sri Lanka","Havelock Town, Colombo, Sri Lanka",6.886651899999999,79.8646835
Bambalapitiya Junction,2025-04-15,09:04,Minor Injury,Pedestrian Collision,Unsafe Lane Change,2,Bicycle; Three Wheeler,26-35,0,2,Low,"Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya, Colombo 00500, Sri Lanka",6.8894192,79.8575468
"No. 34 Kirula Road, Borella, Colombo 08",2025-08-28,18:01,Minor Injury,Single Vehicle Crash,Poor Visibility,1,Bicycle,36-45,0,4,High,"No. 34 Kirula Road, Borella, Colombo 08, Colombo, Sri Lanka","No. 34 Kirula Road, Borella, Colombo 08, Colombo, Sri Lanka","34 Kirula Rd, Colombo 00500, Sri Lanka",6.892252,79.87053949999999
Pamankada Junction,2024-10-30,18:25,Minor Injury,Rear-end Collision,Reckless Driving,1,Three Wheeler,26-35,0,2,Moderate,"Pamankada Junction, Colombo, Sri Lanka","Pamankada Junction, Colombo, Sri Lanka","Pamankada Ln, Colombo, Sri Lanka",6.8756803,79.8676529
Rathmalana Junction,2022-12-27,08:12,Minor Injury,Rear-end Collision,Unsafe Lane Change,1,Lorry,46-55,0,1,High,"Rathmalana Junction, Colombo, Sri Lanka","Rathmalana Junction, Colombo, Sri Lanka","RV7H+WF6 Belek Kade Junction, A2, Dehiwala-Mount Lavinia, Sri Lanka",6.8147858,79.8786373
Bauddhaloka Mawatha Cinnamon Gardens,2024-11-12,09:11,Minor Injury,Motorcycle Collision,Driver Negligence,3,Motorcycle; Three Wheeler; Lorry,18-25,0,1,Moderate,"Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha, Colombo 00700, Sri Lanka",6.901932,79.8694402
Fort Railway Station Area,2024-11-05,15:12,Serious Injury,Single Vehicle Crash,Overspeeding,1,Van,26-35,0,4,High,"Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway station, Colombo, Sri Lanka",6.9337011,79.85003019999999
Maradana Junction,2022-09-14,19:54,Serious Injury,Pedestrian Collision,Unsafe Lane Change,1,Motorcycle,18-25,0,5,Moderate,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428
Madampitiya Road,2024-08-06,13:50,Minor Injury,Side-impact Collision,Mechanical Failure,2,Three Wheeler; Motorcycle,18-25,0,1,High,"Madampitiya Road, Colombo, Sri Lanka","Madampitiya Road, Colombo, Sri Lanka","Madampitiya Rd, Colombo, Sri Lanka",6.9624445,79.8714976
Bambalapitiya Junction,2025-02-14,09:36,Minor Injury,Pedestrian Collision,Overspeeding,1,Motorcycle,26-35,0,2,Moderate,"Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya, Colombo 00500, Sri Lanka",6.8894192,79.8575468
Marine Drive Kollupitiya,2022-11-28,13:12,Minor Injury,Pedestrian Collision,Driver Negligence,1,Motorcycle,18-25,0,2,Low,"Marine Drive Kollupitiya, Colombo, Sri Lanka","Marine Drive Kollupitiya, Colombo, Sri Lanka","Marine Drive, Colombo, Sri Lanka",6.9061405,79.8497258
Armour Street Junction,2024-08-16,11:23,Serious Injury,Side-impact Collision,Reckless Driving,2,Three Wheeler; Motorcycle,36-45,0,3,Low,"Armour Street Junction, Colombo, Sri Lanka","Armour Street Junction, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618
Borella Junction,2022-11-19,06:14,Serious Injury,Side-impact Collision,Overspeeding,3,Three Wheeler; Lorry; Van,18-25,0,2,High,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481
High Level Road Kirulapone,2023-06-04,18:17,Minor Injury,Pedestrian Collision,Driver Fatigue,2,Motorcycle; Car,18-25,0,1,Low,"High Level Road Kirulapone, Colombo, Sri Lanka","High Level Road Kirulapone, Colombo, Sri Lanka","High Level Rd, Colombo, Sri Lanka",6.8775584,79.8793098
Baseline Road Borella,2025-10-24,09:52,Minor Injury,Rear-end Collision,Driver Negligence,3,Car; Motorcycle; Van,26-35,0,4,Low,"Baseline Road Borella, Colombo, Sri Lanka","Baseline Road Borella, Colombo, Sri Lanka","Baseline Rd, Colombo, Sri Lanka",6.919902,79.8776917
Galle Road Rathmalana,2023-10-15,22:18,Minor Injury,Motorcycle Collision,Driver Fatigue,2,Motorcycle; Bus,46-55,0,3,Moderate,"Galle Road Rathmalana, Colombo, Sri Lanka","Galle Road Rathmalana, Colombo, Sri Lanka","Galle Rd, Sri Lanka",6.8164799,79.8765378
"No. 05 Sirimavo Bandaranaike Mawatha, Grandpass, Colombo 14",2025-01-06,23:52,Minor Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Car,46-55,0,1,Low,"No. 05 Sirimavo Bandaranaike Mawatha, Grandpass, Colombo 14, Colombo, Sri Lanka","No. 05 Sirimavo Bandaranaike Mawatha, Grandpass, Colombo 14, Colombo, Sri Lanka","5 Sirimavo Bandaranaike Mawatha, Colombo 01300, Sri Lanka",6.944629399999999,79.8665427
Union Place Slave Island,2025-04-29,19:57,Minor Injury,Pedestrian Collision,Poor Visibility,2,Motorcycle; Three Wheeler,46-55,0,2,Moderate,"Union Place Slave Island, Colombo, Sri Lanka","Union Place Slave Island, Colombo, Sri Lanka","Union Pl, Colombo, Sri Lanka",6.9203664,79.8578057
Bambalapitiya Junction,2022-12-20,07:26,Serious Injury,Side-impact Collision,Driver Negligence,1,Three Wheeler,26-35,0,2,High,"Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya, Colombo 00500, Sri Lanka",6.8894192,79.8575468
Dematagoda Junction,2025-10-03,18:18,Minor Injury,Motorcycle Collision,Reckless Driving,1,Motorcycle,18-25,0,2,Low,"Dematagoda Junction, Colombo, Sri Lanka","Dematagoda Junction, Colombo, Sri Lanka","Dematagoda Pl, Colombo, Sri Lanka",6.9293231,79.8764195
Bauddhaloka Mawatha Cinnamon Gardens,2022-04-09,10:29,Minor Injury,Rear-end Collision,Reckless Driving,2,Three Wheeler; Van,26-35,0,2,Low,"Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha, Colombo 00700, Sri Lanka",6.901932,79.8694402
Kollupitiya Railway Station Area,2022-04-06,09:41,Minor Injury,Pedestrian Collision,Driver Negligence,1,Car,26-35,0,2,High,"Kollupitiya Railway Station Area, Colombo, Sri Lanka","Kollupitiya Railway Station Area, Colombo, Sri Lanka","Kollupitiya Railway Station, Colombo, Sri Lanka",6.9112629,79.8481782
D R Wijewardena Mawatha Dematagoda,2025-08-20,07:30,Serious Injury,Motorcycle Collision,Unsafe Lane Change,4,Motorcycle; Van; Bicycle; Bus,36-45,0,5,High,"D R Wijewardena Mawatha Dematagoda, Colombo, Sri Lanka","D R Wijewardena Mawatha Dematagoda, Colombo, Sri Lanka","McCallum Rd, Colombo, Sri Lanka",6.9315143,79.8545206
"Junction of Olcott Mawatha and Sea Street, Colombo 11",2023-04-12,07:47,Serious Injury,Side-impact Collision,Driver Negligence,2,Motorcycle; Car,18-25,0,4,High,"Junction of Olcott Mawatha and Sea Street, Colombo 11, Colombo, Sri Lanka","Junction of Olcott Mawatha and Sea Street, Colombo 11, Colombo, Sri Lanka","Sea St, Colombo 01300, Sri Lanka",6.9418464,79.8542501
Liberty Plaza Area,2025-07-29,12:35,Minor Injury,Side-impact Collision,Reckless Driving,1,Car,46-55,0,1,High,"Liberty Plaza Area, Colombo, Sri Lanka","Liberty Plaza Area, Colombo, Sri Lanka","300 Srimath Anagarika Dharmapala Mawatha, Colombo 00300, Sri Lanka",6.9118996,79.85130869999999
High Level Road Kirulapone,2025-11-21,18:57,Minor Injury,Multi-vehicle Collision,Distracted Driving,4,Three Wheeler; Bicycle; Motorcycle; Car,46-55,0,1,Moderate,"High Level Road Kirulapone, Colombo, Sri Lanka","High Level Road Kirulapone, Colombo, Sri Lanka","High Level Rd, Colombo, Sri Lanka",6.8775584,79.8793098
Bauddhaloka Mawatha Cinnamon Gardens,2024-10-02,22:08,Minor Injury,Multi-vehicle Collision,Overspeeding,3,Three Wheeler; Van; Motorcycle,56+,0,2,Low,"Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha, Colombo 00700, Sri Lanka",6.901932,79.8694402
"Junction of Main Street and First Cross Street, Pettah, Colombo 11",2025-12-23,16:16,Minor Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Bus,56+,0,3,Low,"Junction of Main Street and First Cross Street, Pettah, Colombo 11, Colombo, Sri Lanka","Junction of Main Street and First Cross Street, Pettah, Colombo 11, Colombo, Sri Lanka","Main St & 1st Cross St, Colombo, Sri Lanka",6.937465899999999,79.85073349999999
"Junction of Union Place and Kumaran Ratnam Road, Colombo 02",2025-02-09,16:20,Minor Injury,Side-impact Collision,Overspeeding,2,Bus; Car,26-35,0,2,Moderate,"Junction of Union Place and Kumaran Ratnam Road, Colombo 02, Colombo, Sri Lanka","Junction of Union Place and Kumaran Ratnam Road, Colombo 02, Colombo, Sri Lanka","Kumaran Ratnam Rd, Colombo, Sri Lanka",6.9255031,79.8516797
Havelock Town Junction,2022-02-10,17:31,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Motorcycle,46-55,0,4,Low,"Havelock Town Junction, Colombo, Sri Lanka","Havelock Town Junction, Colombo, Sri Lanka","Havelock Town, Colombo, Sri Lanka",6.886651899999999,79.8646835
Havelock Town Junction,2024-03-23,21:15,Minor Injury,Single Vehicle Crash,Overspeeding,1,Three Wheeler,26-35,0,2,Moderate,"Havelock Town Junction, Colombo, Sri Lanka","Havelock Town Junction, Colombo, Sri Lanka","Havelock Town, Colombo, Sri Lanka",6.886651899999999,79.8646835
Udahamulla Junction,2025-04-29,08:48,Serious Injury,Rear-end Collision,Mechanical Failure,1,Three Wheeler,46-55,0,4,Low,"Udahamulla Junction, Colombo, Sri Lanka","Udahamulla Junction, Colombo, Sri Lanka","Udahamulla, Nugegoda, Sri Lanka",6.8665559,79.9150724
Armour Street Junction,2024-10-21,18:03,Fatal,Rear-end Collision,Unsafe Lane Change,1,Three Wheeler,18-25,1,3,High,"Armour Street Junction, Colombo, Sri Lanka","Armour Street Junction, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618
Torrington Avenue Colombo 07,2025-08-09,19:45,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Car,26-35,0,2,Low,"Torrington Avenue Colombo 07, Colombo, Sri Lanka","Torrington Avenue Colombo 07, Colombo, Sri Lanka","7 Torrington Ave, Colombo 00700, Sri Lanka",6.8980313,79.8688026
Nelum Pokuna Area,2022-09-27,14:03,Minor Injury,Pedestrian Collision,Reckless Driving,1,Three Wheeler,26-35,0,1,Moderate,"Nelum Pokuna Area, Colombo, Sri Lanka","Nelum Pokuna Area, Colombo, Sri Lanka","110 Ananda Coomaraswamy Mawatha, Colombo 00700, Sri Lanka",6.910803199999999,79.86344670000001
Armour Street Junction,2024-07-02,14:27,Serious Injury,Rear-end Collision,Overspeeding,2,Car; Lorry,36-45,0,6,High,"Armour Street Junction, Colombo, Sri Lanka","Armour Street Junction, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618
Colombo 07 Junction,2025-12-30,18:11,Minor Injury,Rear-end Collision,Distracted Driving,2,Three Wheeler; Motorcycle,26-35,0,2,High,"Colombo 07 Junction, Colombo, Sri Lanka","Colombo 07 Junction, Colombo, Sri Lanka","Colombo 07, Colombo 00700, Sri Lanka",6.9066125,79.8596227
Sir Chittampalam A Gardiner Mawatha Fort,2022-11-24,08:48,Fatal,Multi-vehicle Collision,Driver Negligence,4,Three Wheeler; Motorcycle; Lorry; Bicycle,26-35,1,3,High,"Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawath, Colombo, Sri Lanka",6.9298377,79.8477933
Mattakkuliya Junction,2025-05-10,08:55,Minor Injury,Side-impact Collision,Overspeeding,4,Motorcycle; Car; Three Wheeler; Bicycle,36-45,0,2,High,"Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Brg, Colombo, Sri Lanka",6.9805611,79.875318
Baseline Road Borella,2025-07-16,11:37,Serious Injury,Motorcycle Collision,Driver Negligence,4,Motorcycle; Car; Bus; Bicycle,36-45,0,2,High,"Baseline Road Borella, Colombo, Sri Lanka","Baseline Road Borella, Colombo, Sri Lanka","Baseline Rd, Colombo, Sri Lanka",6.919902,79.8776917
Kotahena Junction,2024-12-09,19:57,Minor Injury,Side-impact Collision,Distracted Driving,4,Motorcycle; Car; Three Wheeler; Bus,18-25,0,4,Low,"Kotahena Junction, Colombo, Sri Lanka","Kotahena Junction, Colombo, Sri Lanka","Kotahena St, Colombo 01300, Sri Lanka",6.9494699,79.8626776
Colombo 07 Junction,2025-04-06,15:02,Minor Injury,Motorcycle Collision,Unsafe Lane Change,2,Motorcycle; Three Wheeler,36-45,0,1,Low,"Colombo 07 Junction, Colombo, Sri Lanka","Colombo 07 Junction, Colombo, Sri Lanka","Colombo 07, Colombo 00700, Sri Lanka",6.9066125,79.8596227
Bauddhaloka Mawatha Cinnamon Gardens,2025-07-03,07:46,Minor Injury,Rear-end Collision,Driver Negligence,2,Motorcycle; Three Wheeler,36-45,0,3,High,"Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha, Colombo 00700, Sri Lanka",6.901932,79.8694402
Borella Junction,2023-03-13,10:46,Minor Injury,Motorcycle Collision,Driver Negligence,4,Motorcycle; Car; Bus; Van,26-35,0,2,Low,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481
Kochchikade Junction,2022-10-24,05:13,Fatal,Single Vehicle Crash,Reckless Driving,1,Motorcycle,26-35,1,1,High,"Kochchikade Junction, Colombo, Sri Lanka","Kochchikade Junction, Colombo, Sri Lanka","Colombo, Sri Lanka",6.9270786,79.861243
Borella Police Area,2024-01-22,07:34,Minor Injury,Pedestrian Collision,Reckless Driving,2,Motorcycle; Bicycle,18-25,0,2,Moderate,"Borella Police Area, Colombo, Sri Lanka","Borella Police Area, Colombo, Sri Lanka","Colombo 08, Colombo, Sri Lanka",6.9147836,79.8775951
"Junction of Galle Road and Kawdana Road, Wellawatte, Colombo 06",2025-08-09,17:22,Minor Injury,Motorcycle Collision,Unsafe Lane Change,3,Motorcycle; Bicycle; Car,26-35,0,2,Moderate,"Junction of Galle Road and Kawdana Road, Wellawatte, Colombo 06, Colombo, Sri Lanka","Junction of Galle Road and Kawdana Road, Wellawatte, Colombo 06, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934
Pettah Clock Tower Area,2023-10-17,14:03,Serious Injury,Rear-end Collision,Distracted Driving,1,Motorcycle,26-35,0,4,High,"Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah, Colombo, Sri Lanka",6.9367858,79.8525385
Hulftsdorp Junction,2023-10-14,20:44,Minor Injury,Multi-vehicle Collision,Distracted Driving,3,Three Wheeler; Bus; Car,56+,0,1,Moderate,"Hulftsdorp Junction, Colombo, Sri Lanka","Hulftsdorp Junction, Colombo, Sri Lanka","Hultsdorf St, Colombo, Sri Lanka",6.9375553,79.8608161
Havelock Town Junction,2024-02-02,14:11,Serious Injury,Single Vehicle Crash,Overspeeding,1,Three Wheeler,46-55,0,4,High,"Havelock Town Junction, Colombo, Sri Lanka","Havelock Town Junction, Colombo, Sri Lanka","Havelock Town, Colombo, Sri Lanka",6.886651899999999,79.8646835
"Junction of Havelock Road and Thimbirigasyaya Road, Colombo 05",2025-09-12,21:50,Minor Injury,Side-impact Collision,Reckless Driving,2,Van; Bus,36-45,0,4,Low,"Junction of Havelock Road and Thimbirigasyaya Road, Colombo 05, Colombo, Sri Lanka","Junction of Havelock Road and Thimbirigasyaya Road, Colombo 05, Colombo, Sri Lanka","Thimbirigasyaya Rd & Havelock Rd, Colombo 00500, Sri Lanka",6.8903249,79.8637507
Sir Chittampalam A Gardiner Mawatha Fort,2023-12-24,11:52,Serious Injury,Side-impact Collision,Driver Negligence,2,Motorcycle; Three Wheeler,36-45,0,2,High,"Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawath, Colombo, Sri Lanka",6.9298377,79.8477933
High Level Road Kirulapone,2022-06-16,09:13,Minor Injury,Side-impact Collision,Driver Negligence,1,Car,56+,0,4,Moderate,"High Level Road Kirulapone, Colombo, Sri Lanka","High Level Road Kirulapone, Colombo, Sri Lanka","High Level Rd, Colombo, Sri Lanka",6.8775584,79.8793098
High Level Road Kirulapone,2022-06-04,01:57,Serious Injury,Single Vehicle Crash,Overspeeding,1,Van,36-45,0,5,Moderate,"High Level Road Kirulapone, Colombo, Sri Lanka","High Level Road Kirulapone, Colombo, Sri Lanka","High Level Rd, Colombo, Sri Lanka",6.8775584,79.8793098
Fort Railway Station Area,2024-01-26,12:09,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Car,36-45,0,3,Low,"Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway station, Colombo, Sri Lanka",6.9337011,79.85003019999999
Reid Avenue Colombo 07,2022-07-06,07:08,Minor Injury,Multi-vehicle Collision,Failure to Yield,4,Three Wheeler; Bicycle; Van; Motorcycle,36-45,0,1,Low,"Reid Avenue Colombo 07, Colombo, Sri Lanka","Reid Avenue Colombo 07, Colombo, Sri Lanka","Reid Ave, Colombo 00700, Sri Lanka",6.9012193,79.8616499
Borella Junction,2023-07-29,11:11,Minor Injury,Rear-end Collision,Overspeeding,2,Lorry; Motorcycle,26-35,0,4,High,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481
Pettah Market Area,2024-07-01,07:05,Minor Injury,Multi-vehicle Collision,Driver Fatigue,4,Van; Three Wheeler; Bicycle; Motorcycle,46-55,0,2,Moderate,"Pettah Market Area, Colombo, Sri Lanka","Pettah Market Area, Colombo, Sri Lanka","WVP3+VMM, Keyzer St, Colombo 01100, Sri Lanka",6.937201699999999,79.854187
Fort Railway Station Area,2024-09-25,18:51,Serious Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Bus,18-25,0,3,High,"Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway station, Colombo, Sri Lanka",6.9337011,79.85003019999999
Havelock Town Junction,2024-02-03,12:31,Minor Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Car,26-35,0,1,High,"Havelock Town Junction, Colombo, Sri Lanka","Havelock Town Junction, Colombo, Sri Lanka","Havelock Town, Colombo, Sri Lanka",6.886651899999999,79.8646835
Nugegoda Town,2024-09-20,10:19,Minor Injury,Motorcycle Collision,Unsafe Lane Change,3,Motorcycle; Bicycle; Car,36-45,0,3,Low,"Nugegoda Town, Colombo, Sri Lanka","Nugegoda Town, Colombo, Sri Lanka","Nugegoda, Sri Lanka",6.8649081,79.8996789
Sea Street Kotahena,2024-03-31,11:44,Minor Injury,Side-impact Collision,Overspeeding,4,Motorcycle; Van; Three Wheeler; Car,26-35,0,2,Moderate,"Sea Street Kotahena, Colombo, Sri Lanka","Sea Street Kotahena, Colombo, Sri Lanka","Sea St, Colombo 01300, Sri Lanka",6.9418464,79.8542501
Messenger Street Pettah,2023-06-24,18:59,Minor Injury,Side-impact Collision,Driver Fatigue,1,Bicycle,26-35,0,1,High,"Messenger Street Pettah, Colombo, Sri Lanka","Messenger Street Pettah, Colombo, Sri Lanka","M. J. M. Lafeer Mawatha, Colombo, Sri Lanka",6.9411356,79.8629811
Independence Square Area,2024-04-11,19:15,Minor Injury,Rear-end Collision,Failure to Yield,2,Bus; Motorcycle,18-25,0,3,Moderate,"Independence Square Area, Colombo, Sri Lanka","Independence Square Area, Colombo, Sri Lanka","Independence Square, Colombo 00700, Sri Lanka",6.9035383,79.8681098
Mahanama College Junction,2024-04-23,05:06,Fatal,Multi-vehicle Collision,Driver Fatigue,2,Car; Bus,18-25,2,7,High,"Mahanama College Junction, Colombo, Sri Lanka","Mahanama College Junction, Colombo, Sri Lanka","WV43+FW2, R. A. De Mel Mawatha, Colombo, Sri Lanka",6.9061492,79.8547687
Duplication Road Bambalapitiya,2024-01-06,17:41,Minor Injury,Rear-end Collision,Overspeeding,2,Car; Motorcycle,36-45,0,2,Low,"Duplication Road Bambalapitiya, Colombo, Sri Lanka","Duplication Road Bambalapitiya, Colombo, Sri Lanka","450 E R. A. De Mel Mawatha, Colombo 00200, Sri Lanka",6.9024028,79.8545389
Union Place,2024-08-23,13:10,Serious Injury,Head-on Collision,Reckless Driving,2,Motorcycle; Car,26-35,0,2,High,"Union Place, Colombo, Sri Lanka","Union Place, Colombo, Sri Lanka","Union Place, Colombo, Sri Lanka",6.922958299999999,79.8523572
Sea Street Kotahena,2025-11-20,21:07,Minor Injury,Rear-end Collision,Driver Negligence,1,Bicycle,18-25,0,3,Moderate,"Sea Street Kotahena, Colombo, Sri Lanka","Sea Street Kotahena, Colombo, Sri Lanka","Sea St, Colombo 01300, Sri Lanka",6.9418464,79.8542501
Slave Island Junction,2025-09-23,21:24,Serious Injury,Rear-end Collision,Overspeeding,1,Bicycle,46-55,0,4,High,"Slave Island Junction, Colombo, Sri Lanka","Slave Island Junction, Colombo, Sri Lanka","Kompannavidiya Flyover, Colombo, Sri Lanka",6.9266493,79.8483123
Borella Junction,2023-05-26,23:12,Minor Injury,Pedestrian Collision,Unsafe Lane Change,2,Three Wheeler; Car,46-55,0,2,Low,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481
Grandpass Junction,2024-12-11,04:38,Minor Injury,Multi-vehicle Collision,Driver Negligence,3,Car; Motorcycle; Three Wheeler,26-35,0,2,Moderate,"Grandpass Junction, Colombo, Sri Lanka","Grandpass Junction, Colombo, Sri Lanka","Grandpass Rd, Colombo, Sri Lanka",6.9432514,79.8685531
Bambalapitiya Railway Station Area,2024-12-24,07:33,Minor Injury,Motorcycle Collision,Pedestrian Negligence,4,Motorcycle; Bus; Car; Three Wheeler,26-35,0,3,Low,"Bambalapitiya Railway Station Area, Colombo, Sri Lanka","Bambalapitiya Railway Station Area, Colombo, Sri Lanka","Bambalapitiya Railway Station, Colombo, Sri Lanka",6.8936984,79.8529574
D R Wijewardena Mawatha Dematagoda,2024-12-12,13:30,Minor Injury,Side-impact Collision,Poor Visibility,4,Car; Motorcycle; Three Wheeler; Bus,26-35,0,3,Low,"D R Wijewardena Mawatha Dematagoda, Colombo, Sri Lanka","D R Wijewardena Mawatha Dematagoda, Colombo, Sri Lanka","McCallum Rd, Colombo, Sri Lanka",6.9315143,79.8545206
Mattakkuliya Junction,2024-04-12,10:48,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Lorry,46-55,0,1,Low,"Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Brg, Colombo, Sri Lanka",6.9805611,79.875318
Baseline Road Borella,2022-10-26,19:53,Minor Injury,Multi-vehicle Collision,Overspeeding,4,Three Wheeler; Van; Bicycle; Motorcycle,26-35,0,1,Low,"Baseline Road Borella, Colombo, Sri Lanka","Baseline Road Borella, Colombo, Sri Lanka","Baseline Rd, Colombo, Sri Lanka",6.919902,79.8776917
Pettah Clock Tower Area,2023-07-17,16:56,Minor Injury,Pedestrian Collision,Unsafe Lane Change,2,Motorcycle; Three Wheeler,36-45,0,1,Moderate,"Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah, Colombo, Sri Lanka",6.9367858,79.8525385
Borella Junction,2023-07-30,21:26,Minor Injury,Side-impact Collision,Reckless Driving,2,Van; Bicycle,36-45,0,1,High,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481
Maradana Junction,2024-12-31,12:42,Minor Injury,Rear-end Collision,Reckless Driving,3,Lorry; Three Wheeler; Motorcycle,36-45,0,3,Moderate,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428
Pettah Clock Tower Area,2022-12-22,14:18,Serious Injury,Rear-end Collision,Distracted Driving,2,Car; Bicycle,36-45,0,4,High,"Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah, Colombo, Sri Lanka",6.9367858,79.8525385
High Level Road Kirulapone,2024-07-23,09:13,Fatal,Head-on Collision,Reckless Driving,1,Van,18-25,2,3,High,"High Level Road Kirulapone, Colombo, Sri Lanka","High Level Road Kirulapone, Colombo, Sri Lanka","High Level Rd, Colombo, Sri Lanka",6.8775584,79.8793098
Maradana Junction,2025-09-25,17:14,Fatal,Single Vehicle Crash,Driver Fatigue,1,Lorry,26-35,1,1,High,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428
